,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
1583,Skoda Yeti Elegance,Chennai,2011,79000,Diesel,Manual,First,17.67,1968,138.08,5,7.5
1584,Audi Q7 45 TDI Quattro Premium Plus,Kochi,2019,6773,Diesel,Automatic,First,14.75,2967,245,7,72.94
1585,Toyota Fortuner 3.0 Diesel,Chennai,2010,135000,Diesel,Manual,Second,11.5,2982,171,7,11
1586,Maruti Wagon R VXI Minor ABS,Kochi,2013,36716,Petrol,Manual,First,18.9,1061,67,5,3.02
1587,Hyundai EON Era,Coimbatore,2013,65060,Petrol,Manual,First,21.1,814,55.2,5,3.32
1588,Honda Brio S MT,Delhi,2013,33000,Petrol,Manual,First,19.4,1198,86.8,5,3.24
1589,Maruti Alto 800 VXI,Kolkata,2015,11110,Petrol,Manual,First,22.74,796,47.3,5,2.35
1590,Mahindra Bolero ZLX,Jaipur,2013,63000,Diesel,Manual,First,15.96,2523,62.1,7,5.5
1591,Honda City i VTEC SV,Mumbai,2015,27030,Petrol,Manual,First,17.8,1497,117.3,5,6.75
1592,Skoda Rapid 1.6 MPI Elegance Black Package,Mumbai,2015,19600,Petrol,Manual,First,15,1598,103.52,5,6.15
1593,Maruti Swift VVT VXI,Pune,2016,27755,Petrol,Manual,First,22,1197,81.8,5,5.45
1594,Hyundai EON Magna Plus,Hyderabad,2013,20000,Petrol,Manual,Second,21.1,814,55.2,5,2.3
1595,Maruti Swift Dzire ZXI,Kochi,2015,24782,Petrol,Manual,First,20.85,1197,83.14,5,6.21
1596,Nissan Micra XV CVT,Coimbatore,2014,47303,Petrol,Automatic,First,19.34,1198,76,5,5.21
1597,Audi Q7 4.2 FSI quattro,Delhi,2008,71000,Petrol,Automatic,First,8.3,4134,250,7,11.99
1598,Maruti Swift Vdi BSIII,Pune,2010,135000,Diesel,Manual,First,17.8,1248,75,5,3.1
1599,Tata Xenon XT EX 4X2,Jaipur,2017,1000,Diesel,Manual,First,13.49,2179,138.03,5,7.5
1600,Volkswagen Polo 1.5 TDI Comfortline,Kolkata,2016,29000,Diesel,Manual,First,20.14,1498,88.8,5,4
1601,Honda City i VTEC SV,Kochi,2016,36367,Petrol,Manual,First,17.8,1497,117.3,5,7.73
1602,Honda City i VTEC V,Bangalore,2015,38000,Petrol,Manual,First,17.4,1497,117.3,5,7.8
1603,Maruti 800 AC BSIII,Hyderabad,2011,83969,Petrol,Manual,First,16.1,796,37,4,1.3
1604,Volkswagen Polo 1.5 TDI Trendline,Jaipur,2014,82621,Diesel,Manual,First,20.14,1498,88.8,5,4.42
1605,Chevrolet Captiva LTZ VCDi,Pune,2009,89000,Diesel,Automatic,First,12.5,1991,147.9,7,4
1606,Mahindra XUV500 W10 2WD,Kolkata,2016,54000,Diesel,Manual,First,16,2179,140,7,13
1607,Honda Amaze VX i-DTEC,Kochi,2015,61691,Diesel,Manual,First,25.8,1498,98.6,5,5.38
1608,Hyundai i20 1.2 Sportz Option,Chennai,2011,32200,Petrol,Manual,Second,17,1197,80,5,3.25
1609,Maruti Wagon R AMT VXI,Jaipur,2016,68630,Petrol,Automatic,First,20.51,998,67,5,3.87
1610,Volkswagen Jetta 2013-2015 2.0L TDI Highline AT,Mumbai,2014,61000,Diesel,Automatic,Second,16.96,1968,138.03,5,8.25
1611,Maruti Ciaz 1.4 Zeta,Mumbai,2018,32644,Petrol,Manual,First,20.73,1373,91.1,5,9.28
1612,Mahindra Scorpio 2009-2014 VLX 4WD AT 7S BSIV,Delhi,2012,85000,Diesel,Automatic,First,11.79,2179,120,7,6.25
1613,Chevrolet Aveo U-VA 1.2 LS,Mumbai,2008,75000,Petrol,Manual,Second,15.26,1150,74.9,5,1.15
1614,Maruti Ciaz ZXi Option,Kochi,2016,40347,Petrol,Manual,First,20.73,1373,91.2,5,7.8
1615,Hyundai i20 1.4 CRDi Asta,Hyderabad,2012,60788,Diesel,Manual,First,23,1396,90,5,4.5
1616,Honda Jazz 1.2 SV i VTEC,Kochi,2018,18664,Petrol,Manual,First,18.7,1199,88.7,5,7.56
1617,Mahindra XUV500 W10 2WD,Coimbatore,2017,57847,Diesel,Manual,First,16,2179,140,7,16.08
1618,Hyundai i20 1.2 Sportz,Bangalore,2012,52237,Petrol,Manual,First,17,1197,80,5,4.5
1619,Hyundai Verna 1.6 SX,Chennai,2012,128000,Diesel,Manual,First,22.32,1582,126.32,5,5
1620,Hyundai i10 Era 1.1,Delhi,2011,54000,Petrol,Manual,First,19.81,1086,68.05,5,2.2
1621,Maruti Celerio VXI AT,Bangalore,2014,49800,Petrol,Automatic,First,23.1,998,67.04,5,4
1622,Skoda Fabia 1.2 TDI Ambition,Kolkata,2012,98000,Diesel,Manual,First,20.86,1199,73.9,5,2.51
1623,Maruti Swift VDI BSIV,Delhi,2015,60095,Diesel,Manual,First,25.2,1248,74,5,4.75
1624,Hyundai i10 Magna(O) with Sun Roof,Pune,2008,68000,Petrol,Manual,Second,16,1086,66.7,5,2
1625,Hyundai i10 Magna 1.2,Jaipur,2010,81402,Petrol,Manual,Second,20.36,1197,78.9,5,2.1
1626,Ford Ecosport 1.5 Ti VCT AT Titanium,Mumbai,2013,38000,Petrol,Automatic,First,16.5,1499,110,5,6.25
1627,Mercedes-Benz E-Class 2009-2013 E350 CDI Avantgarde,Kochi,2011,92239,Diesel,Automatic,Second,11.5,2987,210,5,10.6
1628,Maruti Swift VDI BSIV,Ahmedabad,2017,49224,Diesel,Manual,First,25.2,1248,74,5,6
1629,Maruti 800 Std BSIII,Jaipur,2004,12000,Petrol,Manual,Second,16.1,796,37,4,0.45
1630,Maruti Swift Lxi BSIII,Pune,2010,54898,Petrol,Manual,Third,16.1,1298,88.2,5,2.5
1631,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Mumbai,2018,2500,Petrol,Manual,First,15.29,1591,121.3,5,12.75
1632,BMW X1 M Sport sDrive 20d,Kochi,2017,32838,Diesel,Automatic,First,17.05,1995,190,5,30.29
1633,Ford Ikon 1.3 Flair,Hyderabad,2006,27076,Petrol,Manual,First,13.8,1299,70,5,1.6
1634,Ford Ecosport 1.5 DV5 MT Titanium Optional,Kochi,2017,75445,Diesel,Manual,First,22.7,1498,89.84,5,7.54
1635,Maruti Ciaz VXi Plus,Kochi,2015,46601,Petrol,Manual,First,20.73,1373,91.1,5,6.84
1636,Volkswagen Passat Diesel Highline 2.0 TDI,Kolkata,2012,72000,Diesel,Automatic,First,18.33,1968,167.7,5,6
1637,Honda Jazz 1.5 VX i DTEC,Pune,2017,27000,Diesel,Manual,First,27.3,1498,98.6,5,8
1638,Audi A4 35 TDI Premium,Coimbatore,2016,68193,Diesel,Automatic,First,17.11,1968,174.33,5,24.74
1639,Hyundai Grand i10 CRDi Sportz Celebration Edition,Kochi,2017,34429,Diesel,Manual,First,24,1120,70,5,5.5
1640,Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Delhi,2013,46000,Diesel,Automatic,First,12,2987,224,7,36
1641,Toyota Innova 2.5 G (Diesel) 7 Seater,Coimbatore,2013,80544,Diesel,Manual,First,12.99,2494,100.6,7,11.79
1642,Nissan Sunny 2011-2014 XL,Jaipur,2011,42000,Petrol,Manual,Second,16.95,1498,97.7,5,3
1643,Skoda Laura Ambiente 2.0 TDI CR AT,Bangalore,2011,94821,Diesel,Automatic,Second,20,1968,138.1,5,6.75
1644,Chevrolet Aveo 1.4 LS,Jaipur,2006,100000,Petrol,Manual,First,14.49,1399,92.7,5,1.4
1645,Honda Mobilio V i DTEC,Mumbai,2014,57000,Diesel,Manual,First,24.2,1498,98.6,7,5.75
1646,Maruti Ritz VDi,Hyderabad,2010,79894,Diesel,Manual,First,21.1,1248,73.9,5,3.4
1647,Volkswagen Polo Petrol Highline 1.2L,Coimbatore,2011,44748,Petrol,Manual,Second,16.47,1198,73.9,5,4.89
1648,Nissan Terrano XL,Mumbai,2013,31000,Petrol,Manual,First,13.24,1598,102.5,5,4.95
1649,Maruti A-Star AT Vxi Aktiv,Coimbatore,2013,60587,Petrol,Automatic,Second,16.98,998,66.1,5,3.49
1650,Toyota Etios Liva GD,Pune,2011,32000,Diesel,Manual,First,23.59,1364,null  ,5,3.85
1651,Honda City 1.5 S MT,Pune,2014,43772,Petrol,Manual,First,17,1497,118,5,6.35
1652,Hyundai Grand i10 AT Asta,Coimbatore,2017,23576,Petrol,Automatic,First,18.9,1197,82,5,7.08
1653,Jaguar XE 2.0L Diesel Prestige,Hyderabad,2017,4000,Diesel,Automatic,First,13.6,1999,177,5,38
1654,Mahindra Scorpio VLX,Kolkata,2012,62000,Diesel,Manual,First,12.05,2179,120,8,6.25
1655,Mercedes-Benz New C-Class C 200 Kompressor Elegance AT,Mumbai,2011,36000,Petrol,Automatic,First,11.74,1796,186,5,10.15
1656,Skoda Superb Elegance 1.8 TSI AT,Delhi,2014,80000,Petrol,Automatic,First,13.7,1798,157.75,5,10.75
1657,Chevrolet Cruze LTZ AT,Pune,2012,137008,Diesel,Automatic,First,18.1,1991,147.9,4,4.65
1658,Mahindra Scorpio VLX,Delhi,2010,61001,Diesel,Manual,First,12.05,2179,120,8,4.75
1659,Hyundai Verna 1.6 SX VTVT (O),Coimbatore,2015,52191,Petrol,Manual,First,17.1,1591,121.3,5,7.78
1660,Hyundai i20 1.4 Asta CRDi with AVN,Hyderabad,2016,77076,Diesel,Manual,First,23,1396,90,5,6.75
1661,Honda City ZX CVT,Hyderabad,2008,56000,Petrol,Automatic,First,16.4,1497,78,5,2.99
1662,Hyundai i10 Magna,Kolkata,2013,21000,Petrol,Manual,First,20.36,1197,78.9,5,2.35
1663,Honda Amaze S i-Dtech,Delhi,2013,89429,Diesel,Manual,First,25.8,1498,98.6,5,3.65
1664,Maruti Wagon R LXI,Delhi,2012,45631,Petrol,Manual,Second,22.5,998,67.04,5,2.74
1665,Honda Brio S MT,Jaipur,2013,53959,Petrol,Manual,First,19.4,1198,86.8,5,3.5
1666,Hyundai i20 1.2 Sportz Option,Kochi,2014,55804,Petrol,Manual,First,17,1197,80,5,4.76
1667,Volkswagen Vento 2013-2015 1.6 Comfortline,Kochi,2016,25899,Petrol,Manual,First,15.04,1598,103.2,5,6.2
1668,Skoda Octavia Rider 1.9 TDI MT,Pune,2008,82000,Diesel,Manual,Second,18.7,1896,66,5,2.35
1669,Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Mumbai,2014,52000,Diesel,Automatic,First,13,2143,204,5,24.5
1670,Renault Duster Petrol RxL,Pune,2013,20000,Petrol,Manual,First,13.24,1598,102.57,5,6
1671,Hyundai EON Sportz,Hyderabad,2017,31829,Petrol,Manual,First,21.1,814,55.2,5,3.65
1672,Maruti Swift VXI,Coimbatore,2016,18094,Petrol,Manual,Second,18.6,1197,85.8,5,6.26
1673,Nissan Micra Diesel,Jaipur,2011,80000,Diesel,Manual,Second,19.5,1461,null  ,5,2.1
1674,Audi Q5 3.0 TDI Quattro Technology,Mumbai,2015,11964,Diesel,Automatic,First,13.22,2967,241.4,5,32.95
1675,Hyundai i20 1.2 Spotz,Coimbatore,2018,22684,Petrol,Manual,First,18.6,1197,81.83,5,7.8
1676,Honda Brio S MT,Bangalore,2014,43521,Petrol,Manual,First,19.4,1198,86.8,5,4.25
1677,Maruti Swift Dzire ZXi,Kochi,2014,49386,Petrol,Manual,First,17.5,1298,85.8,5,4.86
1678,Hyundai Grand i10 1.2 Kappa Magna,Delhi,2017,12248,Petrol,Manual,First,18.9,1197,81.86,5,4.9
1679,Mahindra Xylo E8 ABS BS IV,Coimbatore,2014,67771,Diesel,Manual,First,11.68,2498,112,8,7.06
1680,Volkswagen Polo GTI,Delhi,2015,60007,Petrol,Automatic,First,17.21,1798,189,4,4.5
1681,Maruti Alto K10 VXI,Coimbatore,2011,48624,Petrol,Manual,First,24.07,998,67.1,5,3.22
1682,Volkswagen Polo Diesel Comfortline 1.2L,Kolkata,2014,30000,Diesel,Manual,First,22.07,1199,73.9,5,3.25
1683,Hyundai Grand i10 Sportz,Delhi,2016,81605,Petrol,Manual,First,18.9,1197,82,5,4.53
1684,Mercedes-Benz New C-Class C 220 CDI Elegance AT,Coimbatore,2017,32642,Diesel,Automatic,First,14.84,2143,170,5,34.78
1685,Hyundai Verna 1.6 SX VTVT AT,Pune,2014,34200,Petrol,Automatic,First,15.74,1591,121.3,5,6.5
1686,Fiat Punto EVO 1.2 Emotion,Chennai,2010,72204,Petrol,Manual,First,15.7,1172,67,5,2.25
1687,Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,Pune,2011,156347,Diesel,Manual,Second,12.99,2494,100,8,8
1688,Mahindra TUV 300 2015-2019 mHAWK100 T8 AMT,Kochi,2017,47357,Diesel,Automatic,First,18.49,1493,100,7,8.37
1689,Volkswagen Polo 1.5 TDI Comfortline,Coimbatore,2015,61738,Diesel,Manual,First,20.14,1498,88.8,5,5.39
1690,BMW 5 Series 520d Luxury Line,Kochi,2018,32586,Diesel,Automatic,First,22.48,1995,190,5,37.3
1691,Mercedes-Benz GLE 350d,Coimbatore,2018,40129,Diesel,Automatic,First,11.57,2987,254.79,5,70.8
1692,Mercedes-Benz M-Class ML 350 CDI,Mumbai,2012,51000,Diesel,Automatic,First,11.74,2987,254.8,5,22.25
1693,Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2018,10393,Petrol,Manual,First,18.9,1197,81.86,5,6.03
1694,Skoda Superb Elegance 1.8 TSI AT,Mumbai,2011,46000,Petrol,Automatic,First,13.7,1798,157.75,5,4.9
1695,Hyundai i10 Sportz AT,Chennai,2013,21000,Petrol,Automatic,First,16.95,1197,78.9,5,3.96
1696,Hyundai i20 1.4 CRDi Asta,Hyderabad,2011,113562,Diesel,Manual,First,23,1396,90,5,4.6
1697,Mahindra Scorpio VLX,Mumbai,2011,100010,Diesel,Manual,Second,12.05,2179,120,8,5.5
1698,Honda Brio V MT,Mumbai,2013,63107,Petrol,Manual,First,19.4,1198,86.8,5,3.25
1699,Hyundai i20 1.2 Magna Executive,Jaipur,2017,58500,Petrol,Manual,First,18.6,1197,81.83,5,6.25
1700,Ford Endeavour 4x2 XLT Limited Edition,Pune,2007,90000,Diesel,Manual,Fourth & Above,10.9,2499,143,7,3
1701,Hyundai Verna CRDi SX,Chennai,2011,108242,Diesel,Manual,First,16.8,1493,110,5,4.25
1702,Toyota Fortuner 3.0 Diesel,Pune,2011,146300,Diesel,Manual,First,11.5,2982,171,7,12.25
1703,BMW X1 sDrive20d,Pune,2011,62943,Diesel,Automatic,Second,17.05,1995,184,5,10.95
1704,Toyota Fortuner 4x2 AT,Delhi,2013,65000,Diesel,Automatic,First,12.55,2982,168.5,7,16.5
1705,Honda Amaze V CVT Petrol,Pune,2018,1700,Petrol,Automatic,First,19,1199,88.76,5,7.8
1706,Hyundai i10 Era 1.1,Kochi,2013,34697,Petrol,Manual,First,19.81,1086,68.05,5,3.7
1707,Hyundai i20 1.2 Sportz,Hyderabad,2012,58000,Petrol,Manual,First,17,1197,80,5,4
1708,BMW 3 Series 320d GT Luxury Line,Mumbai,2015,32500,Diesel,Automatic,First,19.59,1995,187.74,5,26.75
1709,Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,2016,58661,Diesel,Automatic,First,15.17,1968,181,5,28.03
1710,Maruti Swift VXI Optional,Kochi,2017,37124,Petrol,Manual,First,20.4,1197,81.8,5,5.44
1711,Maruti Baleno Delta Automatic,Delhi,2017,44000,Petrol,Automatic,First,21.4,1197,83.1,5,6.2
1712,Hyundai Accent GLE,Kolkata,2005,45200,Petrol,Manual,First,13.2,1495,94,5,0.9
1713,Maruti Ritz LXi,Mumbai,2016,11000,Petrol,Manual,First,18.5,1197,85.8,5,3.95
1714,Tata Nano Lx,Pune,2011,65000,Petrol,Manual,Second,26,624,35,4,0.44
1715,Ford Figo Diesel EXI,Ahmedabad,2012,55005,Diesel,Manual,First,20,1399,68,5,2.75
1716,Volkswagen Passat Diesel Highline 2.0 TDI,Hyderabad,2011,81650,Diesel,Automatic,First,18.33,1968,167.7,5,7.5
1717,Fiat Linea Emotion Pack (Diesel),Chennai,2010,160000,Diesel,Manual,Second,19,1248,93,5,2.5
1718,Mahindra Xylo D4,Hyderabad,2015,169000,Diesel,Manual,First,14.95,2489,93.7,7,5
1719,Maruti Wagon R VXI,Hyderabad,2013,67263,Petrol,Manual,First,18.9,998,67.1,5,3.6
1720,Toyota Etios G Safety,Kochi,2012,44223,Petrol,Manual,First,17.6,1496,88.7,5,3.99
1721,Hyundai Grand i10 Sportz,Coimbatore,2015,36840,Petrol,Manual,First,18.9,1197,82,5,5.64
1722,Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,Pune,2014,160000,Diesel,Manual,First,12.99,2494,100,8,12
1723,Tata Indica V2 DLS TC,Kolkata,2008,133000,Diesel,Manual,First,16.8,1405,62,5,0.7
1724,BMW 3 Series 320d Sport Line,Mumbai,2015,69123,Diesel,Automatic,First,18.88,1995,184,5,19
1725,Ford Endeavour 3.2 Titanium AT 4X4,Delhi,2017,38000,Diesel,Automatic,First,10.91,3198,197,7,30.48
1726,Maruti Ciaz Zeta,Mumbai,2017,5500,Petrol,Manual,First,21.56,1462,103.25,5,8.2
1727,Ford Figo 1.5D Titanium Plus MT,Kolkata,2015,1001,Diesel,Manual,First,25.83,1498,99,5,7.55
1728,Chevrolet Aveo U-VA 1.2 LS,Pune,2007,59000,Petrol,Manual,Third,15.26,1150,74.9,5,0.99
1729,Honda City 1.5 V AT,Delhi,2011,78256,Petrol,Automatic,First,16.8,1497,118,5,4.15
1730,Nissan Sunny XL,Chennai,2016,90000,Petrol,Manual,First,16.95,1498,97.6,5,6.2
1731,Maruti Swift Dzire VXI,Kolkata,2016,18000,Petrol,Manual,First,19.1,1197,85.8,5,4.4
1732,Ford Figo Diesel Titanium,Kolkata,2012,60000,Diesel,Manual,First,20,1399,68,5,2.1
1733,Fiat Grande Punto 1.3 Emotion (Diesel),Jaipur,2011,130000,Diesel,Manual,First,20.3,1248,75,5,2.2
1734,Hyundai Elite i20 Petrol Asta,Coimbatore,2018,32851,Petrol,Manual,First,18.6,1197,81.86,5,8.34
1735,Maruti Swift Dzire VDI,Kolkata,2014,32000,Diesel,Manual,First,23.4,1248,74,5,4.35
1736,Ford Ecosport 1.5 DV5 MT Titanium,Hyderabad,2014,62700,Diesel,Manual,First,22.7,1498,89.84,5,6.8
1737,Maruti Swift Dzire VDi,Jaipur,2010,71000,Diesel,Manual,First,19.3,1248,73.9,5,3.3
1738,Hyundai Grand i10 Sportz,Kochi,2016,19947,Petrol,Manual,First,18.9,1197,82,5,5.04
1739,Ford Endeavour 3.0L 4X4 AT,Hyderabad,2012,91000,Diesel,Automatic,First,11.4,2953,153.86,7,9.2
1740,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2014,74000,Diesel,Manual,First,22.07,1199,73.9,5,5.7
1741,Mahindra TUV 300 2015-2019 mHAWK100 T8,Kochi,2018,55594,Diesel,Manual,First,18.49,1493,100,7,8.48
1742,BMW X6 xDrive 40d,Hyderabad,2013,58000,Diesel,Automatic,First,11.2,2993,306,4,48
1743,Renault Duster 110PS Diesel RxZ,Hyderabad,2012,110224,Diesel,Manual,First,19.01,1461,108.45,5,6.1
1744,Maruti Wagon R LXI,Ahmedabad,2010,21002,Petrol,Manual,First,22.5,998,67.04,5,2.75
1745,Maruti Ertiga SHVS VDI,Pune,2017,121000,Diesel,Manual,First,24.52,1248,88.5,7,8
1746,Maruti Alto LXi BSIII,Jaipur,2010,73513,Petrol,Manual,First,19.7,796,46.3,5,1.85
1747,Maruti Wagon R AMT VXI Option,Jaipur,2015,34000,Petrol,Automatic,First,20.51,998,67,5,3.85
1748,Maruti Eeco 7 Seater Standard,Coimbatore,2017,28371,Petrol,Manual,First,15.1,1196,73,7,4.74
1749,Renault Duster 110PS Diesel RxL,Kochi,2013,74755,Diesel,Manual,First,19.6,1461,108.45,5,5.63
1750,Maruti Zen Estilo 1.1 LX BSIII,Kochi,2011,25805,Petrol,Manual,First,18.2,1061,64,5,2.62
1751,Renault Duster Petrol RxL,Kochi,2015,82603,Petrol,Manual,First,13.06,1598,102.53,5,4.9
1752,Honda Civic 2006-2010 1.8 S MT,Chennai,2006,110000,Petrol,Manual,First,13.5,1799,130,5,2.65
1753,Mahindra XUV500 W8 2WD,Delhi,2012,88000,Diesel,Manual,First,16,2179,140,7,5.99
1754,Mahindra Verito 1.5 D6 BSIV,Chennai,2011,110000,Diesel,Manual,Second,21,1461,64.1,5,2.4
1755,Renault KWID Climber 1.0 MT,Delhi,2017,15000,Petrol,Manual,First,21.7,999,67,5,4.25
1756,Porsche Cayenne Diesel,Mumbai,2013,70000,Diesel,Automatic,First,15.15,2967,240,5,40
1757,Maruti Swift DDiS VDI,Pune,2008,150000,Diesel,Manual,Second,28.4,1248,74,5,2.7
1758,Datsun GO T Option,Hyderabad,2016,19000,Petrol,Manual,First,20.63,1198,67,5,2.99
1759,Hyundai i20 1.2 Magna,Chennai,2011,37442,Petrol,Manual,First,18.5,1197,80,5,3.4
1760,BMW 5 Series 2013-2017 520d Luxury Line,Coimbatore,2016,63111,Diesel,Automatic,Second,18.12,1995,190,5,30.8
1761,Maruti Ertiga ZDI,Mumbai,2012,88000,Diesel,Manual,First,20.77,1248,88.8,7,5.85
1762,Hyundai Grand i10 Magna,Jaipur,2014,42355,Petrol,Manual,First,18.9,1197,82,5,4
1763,BMW 3 Series 330i,Coimbatore,2011,75871,Petrol,Automatic,First,9.43,2996,254,5,14.12
1764,Chevrolet Cruze LTZ,Mumbai,2011,65000,Diesel,Manual,First,17.9,1998,163.7,5,4.55
1765,Mercedes-Benz M-Class ML 350 4Matic,Pune,2015,69000,Diesel,Automatic,First,0,2987,165,5,38
1766,Maruti Ritz LDi,Jaipur,2011,79232,Diesel,Manual,First,21.1,1248,73.9,5,2.9
1767,Mercedes-Benz New C-Class C 200 Kompressor Elegance AT,Pune,2007,220000,Petrol,Automatic,Second,11.74,1796,186,5,6
1768,Hyundai i20 1.2 Magna Executive,Kochi,2016,28470,Petrol,Manual,First,18.6,1197,81.83,5,6.95
1769,Hyundai EON 1.0 Kappa Magna Plus Optional,Kolkata,2014,9759,Petrol,Manual,First,20.3,998,68.05,5,2.75
1770,Maruti Swift VDI,Pune,2014,75216,Diesel,Manual,First,22.9,1248,74,5,5.1
1771,Hyundai i20 Sportz 1.2,Chennai,2017,8000,Petrol,Manual,First,18.6,1197,81.83,5,6.75
1772,Maruti Ritz ZXi,Mumbai,2014,59451,Petrol,Manual,First,18.5,1197,85.8,5,3.69
1773,Maruti Swift VDI,Hyderabad,2013,53996,Diesel,Manual,First,22.9,1248,74,5,5.45
1774,Honda WRV i-VTEC VX,Kochi,2018,15135,Petrol,Manual,First,17.5,1199,88.7,5,9.29
1775,Hyundai Xcent 1.2 Kappa AT S Option,Chennai,2015,53000,Petrol,Automatic,Second,16.9,1197,81.86,5,4
1776,Honda Amaze E i-Vtech,Kolkata,2013,40000,Petrol,Manual,First,18,1198,86.7,5,2.9
1777,Hyundai Verna 1.6 SX VTVT (O),Pune,2013,21107,Petrol,Manual,First,17.1,1591,121.3,5,5.25
1778,Honda City V MT,Mumbai,2014,56000,Petrol,Manual,First,16.8,1497,116.3,5,5.75
1779,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Coimbatore,2017,19623,Petrol,Manual,First,15.29,1591,121.3,5,13.12
1780,Mahindra XUV500 W8 2WD,Kochi,2014,70963,Diesel,Manual,First,15.1,2179,140,7,7.83
1781,Maruti Wagon R LXI CNG,Mumbai,2013,25755,CNG,Manual,First,26.6,998,58.16,5,3.15
1782,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2013,51450,Diesel,Manual,First,12.8,2494,102,7,10.4
1783,Maruti Swift VDI,Pune,2012,75000,Diesel,Manual,First,22.9,1248,74,5,4.35
1784,Maruti Wagon R VXI AMT,Coimbatore,2017,37832,Petrol,Automatic,First,22.5,998,67,5,5.23
1785,Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,2016,43041,Petrol,Manual,First,18.9,1197,81.86,5,6.01
1786,Honda Amaze VX i-DTEC,Hyderabad,2014,97236,Diesel,Manual,First,25.8,1498,98.6,5,4.4
1787,BMW 3 Series 320d Highline,Chennai,2010,83000,Diesel,Automatic,First,16.07,1995,181,5,12.75
1788,Ford Figo Petrol Titanium,Delhi,2011,65000,Petrol,Manual,First,15.6,1196,70,5,2.4
1789,Volkswagen Ameo 1.2 MPI Trendline,Kochi,2018,46007,Petrol,Manual,First,17,1198,73.75,5,5.71
1790,Ford Ecosport 1.5 DV5 MT Trend,Kochi,2015,65925,Diesel,Manual,Second,22.7,1498,89.84,5,5.49
1791,Honda City 1.3 EXI,Pune,2004,73500,Petrol,Manual,Second,13,1343,90,5,1.3
1792,Mahindra XUV500 W6 2WD,Kolkata,2014,55000,Diesel,Manual,First,16,2179,140,7,8.5
1793,Toyota Fortuner 4x2 Manual,Delhi,2012,115000,Diesel,Manual,First,13,2982,168.5,7,12.99
1794,Hyundai Grand i10 1.2 Kappa Magna,Kolkata,2017,31184,Petrol,Manual,First,18.9,1197,81.86,5,5
1795,Maruti Dzire AMT ZDI Plus,Pune,2017,41747,Diesel,Automatic,First,28.4,1248,73.75,5,9
1796,Maruti Swift VDI,Kochi,2016,38143,Diesel,Manual,First,22.9,1248,74,5,5.22
1797,Volkswagen Polo Petrol Highline 1.2L,Pune,2012,19030,Petrol,Manual,First,16.47,1198,73.9,5,3.8
1798,Toyota Etios Liva 1.2 VX Dual Tone,Coimbatore,2019,20877,Petrol,Manual,First,18.16,1197,78.9,5,7.27
1799,Maruti Swift VXI,Mumbai,2016,23555,Petrol,Manual,First,22,1197,81.8,5,5.1
1800,Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Bangalore,2013,29000,Diesel,Automatic,First,14.21,2143,203,5,29
1801,Maruti Wagon R VXI,Pune,2013,61000,Petrol,Manual,First,18.9,998,67.1,5,2.9
1802,Tata Nano Lx BSIV,Kochi,2012,4187,Petrol,Manual,First,26,624,35,4,1.38
1803,Skoda Laura 1.8 TSI Ambiente,Bangalore,2011,46000,Petrol,Manual,First,13.4,1798,157.8,5,5.5
1804,Volkswagen Polo GT TSI,Mumbai,2016,28000,Petrol,Automatic,First,17.21,1197,103.5,5,7.25
1805,Hyundai Verna 1.6 SX,Coimbatore,2014,83558,Diesel,Manual,First,22.32,1582,126.32,5,6.98
1806,Tata Bolt Quadrajet XE,Hyderabad,2017,40000,Diesel,Manual,First,22.95,1248,74,5,5.25
1807,Hyundai EON D Lite Plus,Kolkata,2013,36000,Petrol,Manual,First,21.1,814,55.2,5,1.95
1808,Audi A4 2.0 TDI 177 Bhp Premium Plus,Bangalore,2014,21000,Diesel,Automatic,First,17.11,1968,174.33,5,24.5
1809,Toyota Innova 2.5 GX (Diesel) 7 Seater,Kochi,2013,62162,Diesel,Manual,First,12.99,2494,100,7,8.31
1810,Mercedes-Benz M-Class ML 350 CDI,Hyderabad,2012,83000,Diesel,Automatic,First,11.74,2987,254.8,5,36
1811,Hyundai Xcent 1.1 CRDi S,Pune,2015,58000,Diesel,Manual,First,24.4,1120,71,5,5.5
1812,Honda Accord 2.4 AT,Kochi,2011,62332,Petrol,Automatic,First,11.7,2354,177.6,5,5.89
1813,Volkswagen Vento 1.5 TDI Highline,Kochi,2016,50867,Diesel,Manual,First,20.34,1498,103.2,5,7.95
1814,Hyundai i20 Sportz Petrol,Mumbai,2010,73000,Petrol,Manual,First,17,1197,80,5,2.75
1815,Hyundai Elantra CRDi SX,Jaipur,2012,98008,Diesel,Manual,First,22.7,1582,126.24,5,6.25
